frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
29, 0.933333, 0.991758, 1, 0.180359, 0.194637, -0.964151, -0.00473009, 0.176973, -0.984204, 0.275514, 0.249961, -0.92823, 0.0917565, 0.254968, -0.962586
30, 0.966667, 0.991927, 1, 0.166457, 0.213686, -0.962616, -0.00774637, 0.169893, -0.985432, 0.266136, 0.260243, -0.928141, 0.0908029, 0.237407, -0.967157
31, 1, 0.991403, 1, 0.177193, 0.19984, -0.963674, -0.00154747, 0.172902, -0.984938, 0.274413, 0.245164, -0.929834, 0.0962015, 0.238905, -0.966266
32, 1.03333, 0.991673, 1, 0.182232, 0.204291, -0.961799, -0.00131867, 0.177724, -0.984079, 0.283811, 0.242435, -0.927727, 0.101149, 0.236485, -0.966356
33, 1.06667, 0.991319, 1, 0.190576, 0.2069, -0.959621, -0.00222096, 0.173312, -0.984864, 0.291991, 0.242376, -0.9252, 0.0997469, 0.230277, -0.967999
34, 1.1, 0.991117, 1, 0.181242, 0.199575, -0.962975, -0.0162157, 0.178372, -0.983829, 0.276628, 0.23325, -0.93224, 0.0803774, 0.233142, -0.969115
35, 1.13333, 0.990572, 1, 0.192232, 0.220547, -0.956246, -0.0141349, 0.187294, -0.982202, 0.285818, 0.246754, -0.92597, 0.079903, 0.234975, -0.968712
36, 1.16667, 0.990629, 1, 0.185673, 0.209529, -0.960012, -0.0214078, 0.182739, -0.982928, 0.280252, 0.232662, -0.931304, 0.074087, 0.226742, -0.971133
37, 1.2, 0.99122, 1, 0.1658, 0.19649, -0.966386, -0.0175881, 0.179372, -0.983624, 0.258234, 0.217316, -0.941323, 0.0759637, 0.218319, -0.972916
38, 1.23333, 0.991592, 1, 0.159723, 0.191255, -0.968458, -0.0136207, 0.170624, -0.985242, 0.251962, 0.213677, -0.943852, 0.07934, 0.209729, -0.974535
39, 1.26667, 0.991319, 1, 0.163518, 0.191207, -0.967834, -0.0218656, 0.175022, -0.984322, 0.252771, 0.211455, -0.944136, 0.0684844, 0.212475, -0.974764
40, 1.3, 0.990398, 1, 0.163829, 0.203177, -0.965339, -0.012409, 0.177222, -0.984093, 0.254991, 0.220774, -0.941402, 0.0791392, 0.211448, -0.97418
41, 1.33333, 0.991322, 1, 0.176241, 0.203076, -0.963171, -0.0165938, 0.174874, -0.984451, 0.264474, 0.223292, -0.938187, 0.0720556, 0.213219, -0.974344
42, 1.36667, 0.991123, 1, 0.169542, 0.204737, -0.964022, -0.00947704, 0.181092, -0.98342, 0.258493, 0.227587, -0.938821, 0.0800735, 0.220769, -0.972034
43, 1.4, 0.991094, 1, 0.165847, 0.190146, -0.967646, -0.00413301, 0.182068, -0.983277, 0.255288, 0.221352, -0.941186, 0.0869414, 0.229039, -0.969527
44, 1.43333, 0.991634, 1, 0.162271, 0.200763, -0.966107, -0.0183604, 0.177097, -0.984022, 0.254065, 0.238636, -0.937285, 0.0740874, 0.231677, -0.969968
45, 1.46667, 0.991222, 1, 0.135607, 0.233884, -0.962761, -0.0418874, 0.211605, -0.976457, 0.232225, 0.273562, -0.9334, 0.0551947, 0.26767, -0.961928
46, 1.5, 0.989723, 1, 0.130485, 0.311591, -0.941215, -0.157495, 0.323156, -0.933148, 0.233488, 0.357598, -0.904216, -0.0520352, 0.395626, -0.916937
47, 1.53333, 0.988029, 1, 0.181672, 0.326487, -0.927578, -0.11719, 0.336238, -0.934457, 0.285033, 0.367694, -0.885188, -0.0102071, 0.406142, -0.913753
48, 1.56667, 0.988458, 1, 0.144264, 0.302033, -0.942318, -0.0897287, 0.308046, -0.947131, 0.245723, 0.351112, -0.903516, 0.0143397, 0.379567, -0.925053
49, 1.6, 0.990238, 1, 0.1188, 0.275414, -0.953957, -0.0820305, 0.270623, -0.959184, 0.214321, 0.32891, -0.91972, 0.014818, 0.343196, -0.939147
50, 1.63333, 0.990876, 1, 0.10231, 0.2551, -0.961487, -0.0863208, 0.254355, -0.963251, 0.198286, 0.311365, -0.929373, 0.0110007, 0.328014, -0.944609
51, 1.66667, 0.990703, 1, 0.107247, 0.242578, -0.964186, -0.0822372, 0.245721, -0.965846, 0.199518, 0.303104, -0.931837, 0.0116159, 0.323125, -0.946285
52, 1.7, 0.990565, 1, 0.109927, 0.233191, -0.966198, -0.0813368, 0.238899, -0.967632, 0.199945, 0.29096, -0.935609, 0.010415, 0.313305, -0.949596
53, 1.73333, 0.990529, 1, 0.117724, 0.224538, -0.967328, -0.0848251, 0.245503, -0.965678, 0.211448, 0.281052, -0.936109, 0.0117094, 0.318979, -0.947689
54, 1.76667, 0.990411, 1, 0.117322, 0.224274, -0.967438, -0.0950943, 0.249742, -0.963632, 0.211065, 0.281486, -0.936065, 0.00171725, 0.324633, -0.945838
55, 1.8, 0.990491, 1, 0.117336, 0.22154, -0.968066, -0.0840559, 0.244349, -0.966037, 0.212982, 0.280315, -0.935982, 0.0145013, 0.319792, -0.947377
56, 1.83333, 0.990121, 1, 0.123249, 0.220761, -0.967509, -0.0733256, 0.237596, -0.968593, 0.221029, 0.284643, -0.932805, 0.0270664, 0.317468, -0.947883
57, 1.86667, 0.990212, 1, 0.106148, 0.226157, -0.96829, -0.0827902, 0.229913, -0.969683, 0.207018, 0.291379, -0.933939, 0.0196704, 0.309716, -0.950625
58, 1.9, 0.990262, 1, 0.129004, 0.218502, -0.967272, -0.0874347, 0.225628, -0.970282, 0.228315, 0.284965, -0.93095, 0.0140019, 0.308921, -0.950985
59, 1.93333, 0.990324, 1, 0.130653, 0.223824, -0.965833, -0.0857258, 0.225509, -0.970462, 0.232799, 0.291083, -0.927941, 0.0183596, 0.309572, -0.950699
60, 1.96667, 0.990533, 1, 0.136414, 0.222712, -0.965293, -0.0836051, 0.221988, -0.971458, 0.235703, 0.289608, -0.92767, 0.0175349, 0.305739, -0.951954
61, 2, 0.990486, 1, 0.124667, 0.22895, -0.965422, -0.0894902, 0.218316, -0.971766, 0.224292, 0.300719, -0.926963, 0.0113011, 0.30627, -0.951878
62, 2.03333, 0.990643, 1, 0.127599, 0.228189, -0.965219, -0.0654277, 0.219067, -0.973514, 0.230057, 0.304222, -0.924404, 0.0384248, 0.309617, -0.950085
63, 2.06667, 0.990816, 1, 0.172958, 0.203438, -0.96369, -0.03076, 0.183714, -0.982498, 0.270263, 0.280131, -0.921132, 0.0683264, 0.27488, -0.959048
64, 2.1, 0.989948, 1, 0.189414, 0.19907, -0.961506, -0.0136885, 0.170738, -0.985221, 0.289025, 0.282916, -0.914562, 0.0879397, 0.268972, -0.959125
65, 2.13333, 0.989701, 1, 0.187526, 0.21374, -0.958723, -0.00957435, 0.181324, -0.983377, 0.289726, 0.308038, -0.906185, 0.0946432, 0.290085, -0.952309
66, 2.16667, 0.990152, 1, 0.138227, 0.216592, -0.966427, -0.0633837, 0.224381, -0.972438, 0.241433, 0.323524, -0.9149, 0.0419991, 0.344634, -0.937797
67, 2.2, 0.990267, 1, 0.117402, 0.226038, -0.967018, -0.0827906, 0.238175, -0.967687, 0.221094, 0.349149, -0.910611, 0.0227912, 0.374262, -0.927043
68, 2.23333, 0.98992, 1, 0.110359, 0.238605, -0.964826, -0.0779549, 0.24199, -0.967142, 0.215924, 0.367213, -0.904727, 0.0291902, 0.383909, -0.92291
69, 2.26667, 0.989922, 1, 0.104264, 0.234807, -0.966434, -0.0926906, 0.258311, -0.961605, 0.208184, 0.349688, -0.913443, 0.0133909, 0.386357, -0.922252
70, 2.3, 0.990065, 1, 0.0947367, 0.237237, -0.966821, -0.0944825, 0.262067, -0.960413, 0.193594, 0.316781, -0.928532, 0.00647613, 0.354267, -0.935122
71, 2.33333, 0.99065, 1, 0.109882, 0.222977, -0.968611, -0.0748269, 0.25827, -0.963171, 0.201869, 0.261681, -0.943807, 0.020178, 0.310009, -0.950519
72, 2.36667, 0.989894, 1, 0.113351, 0.226058, -0.967496, -0.0791012, 0.253666, -0.964052, 0.199948, 0.255846, -0.945814, 0.0101755, 0.297306, -0.954728
73, 2.4, 0.990169, 1, 0.116757, 0.23112, -0.965894, -0.0896607, 0.258156, -0.961934, 0.205555, 0.28015, -0.93769, 0.00183176, 0.322233, -0.946658
74, 2.43333, 0.990082, 1, 0.110463, 0.240364, -0.964377, -0.105177, 0.264495, -0.958634, 0.195811, 0.328312, -0.924051, -0.0176953, 0.366981, -0.93006
75, 2.46667, 0.99042, 1, 0.110964, 0.243162, -0.963618, -0.0977282, 0.260295, -0.96057, 0.199363, 0.365358, -0.909268, -0.00767261, 0.395483, -0.918441
76, 2.5, 0.990064, 1, 0.104303, 0.254062, -0.961547, -0.114535, 0.265086, -0.957398, 0.199008, 0.381424, -0.902725, -0.0185653, 0.405116, -0.914077
77, 2.53333, 0.990374, 1, 0.11039, 0.244709, -0.963292, -0.113175, 0.275944, -0.954488, 0.209608, 0.33501, -0.918604, -0.0118468, 0.379145, -0.925261
78, 2.56667, 0.99041, 1, 0.107817, 0.240238, -0.964708, -0.108341, 0.273401, -0.955779, 0.210123, 0.303373, -0.929415, -0.00360147, 0.349972, -0.936753
79, 2.6, 0.991098, 1, 0.107447, 0.244173, -0.963761, -0.0811598, 0.266361, -0.96045, 0.21528, 0.31024, -0.925962, 0.0289017, 0.344696, -0.938269
80, 2.63333, 0.990445, 1, 0.0971096, 0.240075, -0.965885, -0.107086, 0.266025, -0.958, 0.200747, 0.332651, -0.921436, -0.00149519, 0.371099, -0.928592
81, 2.66667, 0.990276, 1, 0.114591, 0.249434, -0.961588, -0.104855, 0.268778, -0.957478, 0.219615, 0.364899, -0.904775, 0.00218425, 0.398301, -0.917252
82, 2.7, 0.990296, 1, 0.125083, 0.2551, -0.95879, -0.092153, 0.26719, -0.959227, 0.234565, 0.361207, -0.902501, 0.0195044, 0.388256, -0.921345
83, 2.73333, 0.990192, 1, 0.122165, 0.254799, -0.959246, -0.0918686, 0.265212, -0.959804, 0.232048, 0.357647, -0.904568, 0.0201036, 0.382894, -0.923574
84, 2.76667, 0.991168, 1, 0.119198, 0.249465, -0.96102, -0.07782, 0.244449, -0.966534, 0.236166, 0.321586, -0.916956, 0.0409285, 0.331315, -0.942632
85, 2.8, 0.989171, 1, 0.191234, 0.196968, -0.961578, 0.0113135, 0.169332, -0.985494, 0.326629, 0.230112, -0.916713, 0.149969, 0.216283, -0.964744
86, 2.83333, 0.988994, 1, 0.147761, 0.197586, -0.969085, 0.00826736, 0.165817, -0.986122, 0.294384, 0.258093, -0.920177, 0.156976, 0.237916, -0.958517
87, 2.86667, 0.988779, 1, 0.18571, 0.188035, -0.964445, 0.00392846, 0.164302, -0.986402, 0.346762, 0.254993, -0.902626, 0.169563, 0.247465, -0.953944
88, 2.9, 0.988083, 1, 0.193434, 0.187224, -0.963084, 0.00598196, 0.169417, -0.985526, 0.360637, 0.24632, -0.899593, 0.17863, 0.245457, -0.952808
89, 2.93333, 0.988025, 1, 0.184126, 0.184356, -0.965459, 0.0119241, 0.160292, -0.986998, 0.345782, 0.222169, -0.911634, 0.177657, 0.214757, -0.960374
90, 2.96667, 0.988482, 1, 0.189416, 0.186717, -0.96398, 0.0166164, 0.179883, -0.983548, 0.356292, 0.214936, -0.909318, 0.188909, 0.223802, -0.956152
91, 3, 0.988663, 1, 0.178546, 0.17595, -0.968072, 0.013912, 0.176112, -0.984272, 0.348598, 0.202853, -0.915057, 0.189368, 0.216986, -0.957631
92, 3.03333, 0.988515, 1, 0.174789, 0.184476, -0.96717, 0.0167074, 0.177454, -0.983987, 0.344078, 0.217761, -0.91334, 0.190827, 0.223937, -0.955739
93, 3.06667, 0.98782, 1, 0.185958, 0.178733, -0.966165, 0.0121373, 0.171461, -0.985116, 0.35275, 0.224358, -0.908422, 0.184268, 0.231783, -0.955155
94, 3.1, 0.988416, 1, 0.192027, 0.183396, -0.964101, 0.00658263, 0.169971, -0.985427, 0.360454, 0.234756, -0.902753, 0.180618, 0.237323, -0.954492
95, 3.13333, 0.988539, 1, 0.189767, 0.187758, -0.963709, 0.012093, 0.171845, -0.98505, 0.352117, 0.237652, -0.905282, 0.17932, 0.238481, -0.954448
96, 3.16667, 0.988519, 1, 0.196738, 0.185213, -0.962803, 0.00755006, 0.17021, -0.985379, 0.366182, 0.227574, -0.902286, 0.182754, 0.229845, -0.955914
97, 3.2, 0.988931, 1, 0.186642, 0.185059, -0.964841, 0.015727, 0.172205, -0.984936, 0.359256, 0.222862, -0.906238, 0.193687, 0.22532, -0.954838
98, 3.23333, 0.989232, 1, 0.186998, 0.185663, -0.964656, 0.0200328, 0.169191, -0.98538, 0.359113, 0.216413, -0.907856, 0.197215, 0.215015, -0.956491
99, 3.26667, 0.988691, 1, 0.192463, 0.193199, -0.962098, 0.0163079, 0.167765, -0.985692, 0.355459, 0.214219, -0.909812, 0.183598, 0.206205, -0.96113
100, 3.3, 0.989238, 1, 0.183864, 0.183927, -0.96559, 0.0140953, 0.152962, -0.988132, 0.352526, 0.209789, -0.911983, 0.186788, 0.194744, -0.962905
101, 3.33333, 0.988935, 1, 0.189236, 0.177934, -0.965676, 0.0215361, 0.173276, -0.984638, 0.358343, 0.210098, -0.909642, 0.196178, 0.220822, -0.95538
102, 3.36667, 0.988676, 1, 0.182174, 0.19838, -0.963046, 0.0138249, 0.176874, -0.984136, 0.353059, 0.234394, -0.905764, 0.189343, 0.228747, -0.954895
103, 3.4, 0.987942, 1, 0.188173, 0.187183, -0.964133, 0.0224394, 0.164994, -0.986039, 0.358518, 0.229758, -0.904807, 0.197458, 0.223742, -0.954437
104, 3.43333, 0.988568, 1, 0.211454, 0.18053, -0.960571, 0.0287612, 0.173373, -0.984436, 0.380854, 0.222951, -0.897353, 0.204628, 0.234101, -0.950434
105, 3.46667, 0.988921, 1, 0.185019, 0.191305, -0.963935, 0.0234662, 0.158619, -0.987061, 0.353575, 0.240278, -0.904019, 0.1958, 0.224465, -0.954609
106, 3.5, 0.98878, 1, 0.20284, 0.178973, -0.962717, 0.0301776, 0.163507, -0.986081, 0.368086, 0.230332, -0.900811, 0.200689, 0.233277, -0.951476
107, 3.53333, 0.988656, 1, 0.201075, 0.178074, -0.963254, 0.0284883, 0.163955, -0.986056, 0.36632, 0.229832, -0.901658, 0.199013, 0.234167, -0.951609
108, 3.56667, 0.988338, 1, 0.204639, 0.17946, -0.962246, 0.0262789, 0.167884, -0.985457, 0.367293, 0.238454, -0.899019, 0.194449, 0.246168, -0.949521
109, 3.6, 0.988838, 1, 0.186235, 0.163443, -0.968815, 0.0188948, 0.153221, -0.988011, 0.34335, 0.224306, -0.912029, 0.180562, 0.232057, -0.955797
110, 3.63333, 0.989096, 1, 0.175704, 0.169741, -0.969699, 0.0220041, 0.159719, -0.986917, 0.329697, 0.239336, -0.913246, 0.179895, 0.24595, -0.952442
111, 3.66667, 0.988904, 1, 0.195644, 0.202812, -0.959474, -0.00105867, 0.19356, -0.981088, 0.345717, 0.269509, -0.898802, 0.153969, 0.281963, -0.94699
112, 3.7, 0.988397, 1, 0.0910501, 0.300301, -0.949489, -0.100664, 0.320006, -0.942052, 0.246191, 0.377942, -0.892496, 0.0579081, 0.417148, -0.906992
113, 3.73333, 0.988097, 1, 0.177354, 0.326739, -0.928325, -0.113972, 0.343843, -0.932085, 0.321089, 0.403205, -0.856929, 0.035446, 0.452351, -0.891136
114, 3.76667, 0.989239, 1, 0.177125, 0.31892, -0.931084, -0.125889, 0.341665, -0.931352, 0.308256, 0.40854, -0.859112, 0.0106422, 0.463699, -0.885929
115, 3.8, 0.990363, 1, 0.129155, 0.28561, -0.949603, -0.0880536, 0.302981, -0.94892, 0.247996, 0.392261, -0.885793, 0.0342951, 0.431948, -0.901246
116, 3.83333, 0.989686, 1, 0.0866607, 0.270705, -0.958754, -0.0861351, 0.29129, -0.952749, 0.197822, 0.394572, -0.897318, 0.0278642, 0.432205, -0.901345
117, 3.86667, 0.988337, 1, 0.163975, 0.309199, -0.936754, -0.122841, 0.323376, -0.938263, 0.270377, 0.429219, -0.861781, -0.0127805, 0.473052, -0.880942
118, 3.9, 0.985963, 1, 0.189362, 0.310688, -0.931459, -0.0886023, 0.334518, -0.938215, 0.28871, 0.449259, -0.845466, 0.0155616, 0.503351, -0.863942
119, 3.93333, 0.986137, 1, 0.202269, 0.3062, -0.930231, -0.0938643, 0.333394, -0.938104, 0.300338, 0.442019, -0.845231, 0.00958695, 0.50178, -0.864942
120, 3.96667, 0.986998, 1, 0.227391, 0.303346, -0.925351, -0.137585, 0.330141, -0.933851, 0.323952, 0.436981, -0.839108, -0.0352468, 0.503172, -0.863467
121, 4, 0.988085, 1, 0.138947, 0.29358, -0.945782, -0.131028, 0.313345, -0.940557, 0.237289, 0.440113, -0.866022, -0.0293355, 0.486647, -0.873106
122, 4.03333, 0.989027, 1, 0.0836125, 0.27463, -0.957908, -0.0986957, 0.301552, -0.948328, 0.177353, 0.433986, -0.88329, -0.00197178, 0.477284, -0.878747
123, 4.06667, 0.989711, 1, 0.0940701, 0.254761, -0.962417, -0.105758, 0.274453, -0.955767, 0.185319, 0.416887, -0.889866, -0.0119291, 0.455051, -0.890386
124, 4.1, 0.988882, 1, 0.116547, 0.239797, -0.963802, -0.0945688, 0.264903, -0.959627, 0.20327, 0.405602, -0.891161, -0.00467868, 0.450006, -0.893013
125, 4.13333, 0.989897, 1, 0.10745, 0.242569, -0.964165, -0.093934, 0.264741, -0.959734, 0.192246, 0.413217, -0.890108, -0.00637812, 0.453391, -0.891289
126, 4.16667, 0.990625, 1, 0.113767, 0.242917, -0.963353, -0.0957709, 0.258117, -0.961355, 0.194473, 0.415083, -0.888756, -0.0127653, 0.449328, -0.893275
127, 4.2, 0.990625, 1, 0.120729, 0.241293, -0.962913, -0.0895845, 0.26085, -0.961214, 0.197199, 0.414266, -0.888536, -0.0104556, 0.452836, -0.891532
128, 4.23333, 0.989797, 1, 0.115437, 0.246797, -0.962167, -0.11232, 0.28285, -0.952565, 0.189821, 0.42792, -0.883658, -0.0341327, 0.483005, -0.874952
129, 4.26667, 0.990074, 1, 0.104155, 0.245006, -0.963911, -0.0992336, 0.288004, -0.952474, 0.174321, 0.434747, -0.88352, -0.0248556, 0.493677, -0.86929
130, 4.3, 0.989825, 1, 0.0969924, 0.241804, -0.965465, -0.110857, 0.293683, -0.949453, 0.162566, 0.441664, -0.882329, -0.0408203, 0.507375, -0.860758
131, 4.33333, 0.99003, 1, 0.114372, 0.24413, -0.962974, -0.104606, 0.292937, -0.950392, 0.176975, 0.447142, -0.876781, -0.0377568, 0.510862, -0.858833
132, 4.36667, 0.989821, 1, 0.115235, 0.237419, -0.964548, -0.104288, 0.285622, -0.952651, 0.170949, 0.44578, -0.878667, -0.044415, 0.508418, -0.859964
133, 4.4, 0.990267, 1, 0.0965418, 0.247033, -0.964186, -0.125098, 0.291898, -0.948233, 0.150713, 0.465719, -0.872004, -0.0673747, 0.523343, -0.849455
134, 4.43333, 0.989807, 1, 0.101174, 0.23745, -0.966117, -0.120937, 0.29282, -0.948489, 0.153832, 0.46723, -0.87065, -0.0643863, 0.53322, -0.843523
135, 4.46667, 0.989912, 1, 0.0703377, 0.251028, -0.965421, -0.135331, 0.295597, -0.945679, 0.123555, 0.482912, -0.866908, -0.0791503, 0.5365, -0.84018
136, 4.5, 0.989694, 1, 0.0877638, 0.228682, -0.969537, -0.137209, 0.292093, -0.946496, 0.13842, 0.469833, -0.871836, -0.0825339, 0.541335, -0.836746
137, 4.53333, 0.988154, 1, 0.0884266, 0.237524, -0.967349, -0.136621, 0.292589, -0.946428, 0.140076, 0.477182, -0.867569, -0.0815752, 0.5409, -0.837122
138, 4.56667, 0.988721, 1, 0.0807283, 0.233374, -0.96903, -0.14697, 0.29577, -0.943886, 0.132403, 0.477835, -0.868414, -0.0917228, 0.547197, -0.831963
139, 4.6, 0.989729, 1, 0.0631478, 0.235713, -0.969769, -0.139183, 0.293748, -0.945696, 0.112035, 0.483905, -0.86792, -0.0872072, 0.546754, -0.83274
140, 4.63333, 0.989211, 1, 0.0820837, 0.237782, -0.967844, -0.148059, 0.28894, -0.945829, 0.130841, 0.479791, -0.867572, -0.096605, 0.538236, -0.837239
141, 4.66667, 0.988182, 1, 0.0895872, 0.307211, -0.947415, -0.137045, 0.324157, -0.936024, 0.137381, 0.542538, -0.828721, -0.0883381, 0.569078, -0.817525
142, 4.7, 0.987535, 1, 0.179264, 0.32956, -0.92696, -0.152188, 0.317257, -0.936049, 0.227462, 0.561463, -0.795626, -0.103669, 0.570548, -0.814695
143, 4.73333, 0.989073, 1, 0.161889, 0.293123, -0.942269, -0.14314, 0.310972, -0.939578, 0.216051, 0.527937, -0.821343, -0.0876715, 0.561387, -0.822896
144, 4.76667, 0.988994, 1, 0.120062, 0.304734, -0.94484, -0.14109, 0.293328, -0.945543, 0.174437, 0.538197, -0.82457, -0.0866731, 0.54088, -0.836622
145, 4.8, 0.989458, 1, 0.091904, 0.264167, -0.960088, -0.110782, 0.26407, -0.95812, 0.147415, 0.503581, -0.851278, -0.055001, 0.512639, -0.856841
146, 4.83333, 0.990521, 1, 0.0872085, 0.261611, -0.961225, -0.106096, 0.261512, -0.959352, 0.145578, 0.495866, -0.85611, -0.0474455, 0.504661, -0.862013
147, 4.86667, 0.989998, 1, 0.103109, 0.246437, -0.963658, -0.107027, 0.25788, -0.960231, 0.159671, 0.479707, -0.862778, -0.0498324, 0.499815, -0.864697
148, 4.9, 0.990117, 1, 0.10239, 0.244149, -0.964317, -0.0997028, 0.255029, -0.961779, 0.156379, 0.475907, -0.865481, -0.0450684, 0.495429, -0.867478
149, 4.93333, 0.990608, 1, 0.0946329, 0.249623, -0.963708, -0.107797, 0.250631, -0.962062, 0.144179, 0.479896, -0.865397, -0.0579513, 0.490221, -0.86967
150, 4.96667, 0.990069, 1, 0.101678, 0.245084, -0.964155, -0.107958, 0.255572, -0.960744, 0.147552, 0.474013, -0.868067, -0.0614282, 0.493899, -0.867347
151, 5, 0.990757, 1, 0.1118, 0.248143, -0.962251, -0.10751, 0.254503, -0.961077, 0.156989, 0.477651, -0.86441, -0.0617193, 0.494976, -0.866712
152, 5.03333, 0.990424, 1, 0.105164, 0.24429, -0.963983, -0.107946, 0.255612, -0.960734, 0.151335, 0.481647, -0.8632, -0.0610276, 0.503001, -0.862128
153, 5.06667, 0.989441, 1, 0.105011, 0.245896, -0.963591, -0.100582, 0.247769, -0.963584, 0.151362, 0.486468, -0.860487, -0.0538054, 0.499085, -0.864881
