frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
51, 1.66667, 0.990703, 1, 11.9315, -1.19026, 674.464, 0.0493805, -0.0731187, -0.0834583
52, 1.7, 0.990565, 1, 12.0242, -1.35687, 674.951, 0.0462617, -0.0719995, -0.081844
53, 1.73333, 0.990529, 1, 12.4025, -1.70851, 674.978, 0.0451422, -0.0762923, -0.0799116
54, 1.76667, 0.990411, 1, 12.6063, -1.60372, 674.075, 0.046208, -0.0765994, -0.0801355
55, 1.8, 0.990491, 1, 13.2209, -1.59105, 674.554, 0.0477119, -0.0788846, -0.0788188
56, 1.83333, 0.990121, 1, 13.5666, -1.33041, 674.095, 0.0534203, -0.0815841, -0.0754657
57, 1.86667, 0.990212, 1, 14.1028, -1.06005, 674.207, 0.0526224, -0.084687, -0.070518
58, 1.9, 0.990262, 1, 14.4589, -1.04776, 674.057, 0.0560606, -0.0844188, -0.0704148
59, 1.93333, 0.990324, 1, 14.8055, -1.11654, 673.477, 0.0571774, -0.0869188, -0.0692442
60, 1.96667, 0.990533, 1, 15.0724, -1.20205, 672.784, 0.056898, -0.08489, -0.0677586
61, 2, 0.990486, 1, 15.3128, -1.05092, 672.645, 0.0608953, -0.0852732, -0.0658233
62, 2.03333, 0.990643, 1, 15.5626, -0.744866, 672.892, 0.0654411, -0.0884629, -0.0634635
63, 2.06667, 0.990816, 1, 15.9284, -0.51689, 672.631, 0.0676652, -0.0866303, -0.0542857
64, 2.1, 0.989948, 1, 16.1537, -0.218323, 671.267, 0.0760253, -0.0899138, -0.0495233
65, 2.13333, 0.989701, 1, 16.1251, 0.291533, 669.996, 0.0882751, -0.0923066, -0.0481727
66, 2.16667, 0.990152, 1, 15.9996, 1.25104, 670.348, 0.0992078, -0.0920237, -0.0520532
67, 2.2, 0.990267, 1, 15.842, 2.46092, 670.465, 0.116302, -0.0921567, -0.0529271
68, 2.23333, 0.98992, 1, 15.6493, 3.05667, 670.577, 0.123495, -0.0929192, -0.0564014
69, 2.26667, 0.989922, 1, 15.5208, 2.04278, 670.34, 0.106975, -0.0899809, -0.0602833
70, 2.3, 0.990065, 1, 15.4411, -0.585342, 671.082, 0.066019, -0.0834052, -0.0636065
71, 2.33333, 0.99065, 1, 15.3811, -2.75106, 669.956, 0.0224788, -0.0758004, -0.0692121
72, 2.36667, 0.989894, 1, 15.2345, -3.43675, 670.818, 0.01327, -0.07049, -0.0705027
73, 2.4, 0.990169, 1, 15.2201, -2.26155, 669.59, 0.034743, -0.0731472, -0.0704476
74, 2.43333, 0.990082, 1, 15.3556, 0.131469, 668.96, 0.0769431, -0.0717952, -0.0641428
75, 2.46667, 0.99042, 1, 15.8387, 2.56092, 667.216, 0.11527, -0.0766978, -0.0553248
76, 2.5, 0.990064, 1, 16.6913, 3.1864, 665.654, 0.120416, -0.0835311, -0.0499314
77, 2.53333, 0.990374, 1, 17.8851, 1.65852, 665.921, 0.0785879, -0.0868881, -0.0542544
78, 2.56667, 0.99041, 1, 19.0374, 0.357013, 670.55, 0.0479951, -0.0893555, -0.0597136
79, 2.6, 0.991098, 1, 19.3918, 0.305722, 666.444, 0.0526945, -0.0933171, -0.0601531
80, 2.63333, 0.990445, 1, 19.5678, 1.73592, 667.488, 0.0808617, -0.0910522, -0.057185
81, 2.66667, 0.990276, 1, 19.6077, 3.53356, 666.686, 0.109302, -0.0932372, -0.0559351
82, 2.7, 0.990296, 1, 20.0436, 3.63198, 666.716, 0.10019, -0.0968488, -0.057947
83, 2.73333, 0.990192, 1, 20.0612, 3.67885, 666.804, 0.0964418, -0.0970137, -0.0585656
84, 2.76667, 0.991168, 1, 21.0691, 1.92457, 667.84, 0.0613003, -0.101412, -0.0640369
85, 2.8, 0.989171, 1, 23.041, -0.974062, 666.272, 0.0237379, -0.121141, -0.0640701
86, 2.83333, 0.988994, 1, 23.7326, -0.410827, 666.144, 0.0509145, -0.131493, -0.0633024
87, 2.86667, 0.988779, 1, 24.4358, 0.466496, 666.089, 0.0631884, -0.146522, -0.0657737
88, 2.9, 0.988083, 1, 25.0715, 0.365709, 666.28, 0.0560398, -0.152672, -0.0687891
89, 2.93333, 0.988025, 1, 25.6279, -0.582672, 665.065, 0.0336435, -0.147484, -0.0808425
90, 2.96667, 0.988482, 1, 25.4397, -1.6862, 667.577, 0.0227641, -0.1509, -0.0787437
91, 3, 0.988663, 1, 24.978, -2.09687, 667.95, 0.0191562, -0.154364, -0.0743788
92, 3.03333, 0.988515, 1, 24.3495, -1.80691, 668.112, 0.0254535, -0.153738, -0.0709145
93, 3.06667, 0.98782, 1, 23.7329, -1.08766, 667.902, 0.0396406, -0.152628, -0.0682908
94, 3.1, 0.988416, 1, 23.2944, -0.401281, 667.727, 0.0470241, -0.154404, -0.0674557
95, 3.13333, 0.988539, 1, 23.4195, -0.382655, 665.794, 0.0474167, -0.149452, -0.0753757
96, 3.16667, 0.988519, 1, 23.0659, -0.360429, 666.685, 0.0388582, -0.154439, -0.0743604
97, 3.2, 0.988931, 1, 22.8386, -0.751272, 666.711, 0.0331208, -0.156526, -0.0742978
98, 3.23333, 0.989232, 1, 22.5179, -1.1531, 667.621, 0.025408, -0.155352, -0.0766017
99, 3.26667, 0.988691, 1, 22.2813, -1.67579, 666.169, 0.0178962, -0.14698, -0.0870226
100, 3.3, 0.989238, 1, 21.6786, -1.90676, 667.626, 0.0202702, -0.150984, -0.0808505
101, 3.33333, 0.988935, 1, 20.66, -1.55498, 666.981, 0.0271152, -0.152343, -0.0785233
102, 3.36667, 0.988676, 1, 20.2441, -1.00576, 666.58, 0.0311332, -0.152133, -0.0788008
103, 3.4, 0.987942, 1, 19.8985, -0.754195, 666.138, 0.0394847, -0.152659, -0.0794495
104, 3.43333, 0.988568, 1, 19.5583, -0.4858, 665.279, 0.042604, -0.152831, -0.0818934
105, 3.46667, 0.988921, 1, 19.1885, -0.214203, 666, 0.0471474, -0.150154, -0.0830452
106, 3.5, 0.98878, 1, 18.8642, -0.0398863, 665.717, 0.0522437, -0.147989, -0.0852622
107, 3.53333, 0.988656, 1, 18.8653, -0.0335209, 665.902, 0.0525305, -0.147814, -0.0857699
108, 3.56667, 0.988338, 1, 18.4779, 0.217727, 665.871, 0.0613556, -0.145622, -0.0851343
109, 3.6, 0.988838, 1, 18.1315, 0.346006, 665.548, 0.0599851, -0.139916, -0.0863259
110, 3.63333, 0.989096, 1, 17.7691, 0.378878, 665.345, 0.0683669, -0.136701, -0.0855784
111, 3.66667, 0.988904, 1, 17.4706, 0.548379, 666.494, 0.0685134, -0.13157, -0.0883523
112, 3.7, 0.988397, 1, 16.703, 1.5439, 670.189, 0.072007, -0.126722, -0.0951146
113, 3.73333, 0.988097, 1, 15.9749, 2.34942, 672.576, 0.0860012, -0.117389, -0.0975136
114, 3.76667, 0.989239, 1, 15.0397, 3.05063, 669.962, 0.100148, -0.106416, -0.0959382
115, 3.8, 0.990363, 1, 14.1997, 3.68088, 666.703, 0.10867, -0.0950829, -0.0928945
116, 3.83333, 0.989686, 1, 13.4605, 4.44831, 664.185, 0.121353, -0.087537, -0.0942404
117, 3.86667, 0.988337, 1, 13.0588, 5.9349, 667.467, 0.130468, -0.0825492, -0.092245
118, 3.9, 0.985963, 1, 12.4702, 7.90533, 671.983, 0.160402, -0.0775801, -0.0945854
119, 3.93333, 0.986137, 1, 12.4515, 7.94242, 672.521, 0.159326, -0.0767058, -0.0956983
120, 3.96667, 0.986998, 1, 12.3956, 8.11842, 669.143, 0.158797, -0.0757345, -0.0938475
121, 4, 0.988085, 1, 12.2842, 8.35701, 664.577, 0.157086, -0.0755204, -0.0925766
122, 4.03333, 0.989027, 1, 12.1673, 8.72217, 664.157, 0.161985, -0.0723709, -0.0913769
123, 4.06667, 0.989711, 1, 12.0335, 9.14804, 662.862, 0.16448, -0.0714834, -0.0894723
124, 4.1, 0.988882, 1, 11.8533, 9.5935, 662.358, 0.170462, -0.0689371, -0.0867289
125, 4.13333, 0.989897, 1, 11.8278, 10.1052, 662.712, 0.174771, -0.0672729, -0.0851912
126, 4.16667, 0.990625, 1, 11.8551, 10.6492, 663.909, 0.177162, -0.063439, -0.0840369
127, 4.2, 0.990625, 1, 11.9963, 11.0443, 662.858, 0.178535, -0.0592679, -0.0845461
128, 4.23333, 0.989797, 1, 12.0123, 11.7985, 662.935, 0.188544, -0.0571942, -0.0869369
129, 4.26667, 0.990074, 1, 12.3084, 12.4312, 663.517, 0.197183, -0.0534922, -0.0873773
130, 4.3, 0.989825, 1, 12.5423, 13.1508, 663.404, 0.2075, -0.050334, -0.0825114
131, 4.33333, 0.99003, 1, 12.7547, 13.888, 662.563, 0.213672, -0.0483049, -0.0796796
132, 4.36667, 0.989821, 1, 13.0555, 14.597, 662.898, 0.218775, -0.0422305, -0.0782038
133, 4.4, 0.990267, 1, 13.4794, 15.309, 663.295, 0.22954, -0.0408976, -0.0747912
134, 4.43333, 0.989807, 1, 14.8673, 16.5928, 661.748, 0.241761, -0.0412702, -0.0694501
135, 4.46667, 0.989912, 1, 15.4366, 17.0068, 662.819, 0.24205, -0.0414539, -0.0685553
136, 4.5, 0.989694, 1, 15.8494, 17.4592, 662.614, 0.252558, -0.0410307, -0.0661362
137, 4.53333, 0.988154, 1, 16.2816, 17.7939, 661.729, 0.251934, -0.0420405, -0.0642329
138, 4.56667, 0.988721, 1, 16.8458, 18.1124, 662.595, 0.256247, -0.0430068, -0.0624296
139, 4.6, 0.989729, 1, 17.2854, 18.3593, 663.262, 0.259048, -0.0409169, -0.0592163
140, 4.63333, 0.989211, 1, 17.8908, 18.6328, 665.841, 0.253871, -0.0407493, -0.0574814
141, 4.66667, 0.988182, 1, 18.7396, 19.18, 673.062, 0.256554, -0.0388423, -0.0508597
142, 4.7, 0.987535, 1, 19.4472, 19.2891, 678.03, 0.267242, -0.0402821, -0.0470702
143, 4.73333, 0.989073, 1, 19.9359, 18.9853, 675.253, 0.261639, -0.0474524, -0.045419
144, 4.76667, 0.988994, 1, 20.2292, 18.2514, 668.778, 0.254718, -0.0473673, -0.0411294
145, 4.8, 0.989458, 1, 20.6191, 18.0205, 667.138, 0.252403, -0.0505547, -0.0362549
146, 4.83333, 0.990521, 1, 20.704, 17.6767, 665.584, 0.245325, -0.0524068, -0.0367363
147, 4.86667, 0.989998, 1, 20.5245, 17.411, 664.357, 0.243669, -0.0517306, -0.0357769
148, 4.9, 0.990117, 1, 20.2032, 17.121, 664.203, 0.241475, -0.0488452, -0.0371163
149, 4.93333, 0.990608, 1, 19.8718, 16.8988, 663.639, 0.239403, -0.0442618, -0.0389
150, 4.96667, 0.990069, 1, 19.3841, 16.933, 662.172, 0.23809, -0.0400977, -0.0424715
151, 5, 0.990757, 1, 19.17, 17.0754, 661.022, 0.240317, -0.0387614, -0.0445597
152, 5.03333, 0.990424, 1, 18.9703, 17.6405, 658.63, 0.24888, -0.0394668, -0.0448102
153, 5.06667, 0.989441, 1, 18.8601, 18.0017, 657.382, 0.252688, -0.0396738, -0.0442685
154, 5.1, 0.990007, 1, 18.7284, 18.4822, 657.033, 0.26088, -0.0394901, -0.0454112
155, 5.13333, 0.989713, 1, 18.5205, 18.6357, 656.81, 0.271511, -0.0375305, -0.0461211
156, 5.16667, 0.989498, 1, 18.1522, 18.6061, 656.826, 0.266405, -0.030192, -0.0475192
157, 5.2, 0.988802, 1, 17.8918, 18.7981, 658.756, 0.260553, -0.0247527, -0.0514975
158, 5.23333, 0.989455, 1, 17.9188, 18.2351, 660.082, 0.255537, -0.0198167, -0.0515673
159, 5.26667, 0.989272, 1, 17.7156, 18.0321, 660.499, 0.253795, -0.0158387, -0.0525552
160, 5.3, 0.988568, 1, 18.2832, 18.2246, 664.429, 0.257487, -0.0146374, -0.0529232
161, 5.33333, 0.987941, 1, 18.6044, 18.4824, 668.85, 0.268345, -0.0173837, -0.0523723
162, 5.36667, 0.988203, 1, 19.1462, 19.0795, 670.487, 0.275897, -0.020798, -0.0502793
163, 5.4, 0.987723, 1, 19.4795, 18.0433, 670.114, 0.257523, -0.0260813, -0.0510284
164, 5.43333, 0.988439, 1, 20.0419, 17.2854, 668.951, 0.242648, -0.0315804, -0.0536518
165, 5.46667, 0.987814, 1, 20.0837, 16.825, 667.043, 0.233016, -0.034345, -0.0568712
166, 5.5, 0.989297, 1, 20.3727, 16.2993, 665.356, 0.232611, -0.0354252, -0.0599596
167, 5.53333, 0.989804, 1, 20.2995, 16.3243, 662.635, 0.237918, -0.0346084, -0.0624712
168, 5.56667, 0.989744, 1, 20.4622, 16.3644, 660.364, 0.241934, -0.0366384, -0.0623367
169, 5.6, 0.990031, 1, 20.6764, 16.6055, 659.686, 0.246134, -0.0330596, -0.0639041
170, 5.63333, 0.990079, 1, 20.9501, 17.0304, 659.834, 0.245957, -0.0338052, -0.0619016
171, 5.66667, 0.990393, 1, 21.2568, 16.2142, 662.748, 0.232267, -0.0353695, -0.0613343
172, 5.7, 0.989951, 1, 22.1158, 15.7534, 664.446, 0.225542, -0.0443745, -0.0599903
173, 5.73333, 0.989411, 1, 22.9675, 15.983, 663.848, 0.228047, -0.0524502, -0.0575918
174, 5.76667, 0.98788, 1, 23.5713, 16.4634, 660.855, 0.237939, -0.059102, -0.0539613
175, 5.8, 0.988909, 1, 24.0844, 17.1119, 660.624, 0.246847, -0.0605858, -0.0512912
176, 5.83333, 0.988323, 1, 24.6858, 17.7908, 661.063, 0.248783, -0.0640508, -0.0488958
177, 5.86667, 0.987863, 1, 25.4808, 18.0108, 662.405, 0.252947, -0.0701405, -0.050745
178, 5.9, 0.98773, 1, 25.4969, 17.9929, 662.199, 0.253135, -0.0700946, -0.0515263
179, 5.93333, 0.985595, 1, 27.5513, 19.4256, 674.061, 0.262808, -0.0748174, -0.0520968
180, 5.96667, 0.985396, 1, 28.3087, 19.712, 671.965, 0.264314, -0.0784813, -0.0511332
181, 6, 0.986488, 1, 28.9119, 19.8791, 665.041, 0.260941, -0.0816639, -0.0511404
182, 6.03333, 0.987242, 1, 29.2252, 20.0375, 658.788, 0.266072, -0.0804605, -0.0494365
183, 6.06667, 0.987721, 1, 29.7274, 20.2261, 656.441, 0.274079, -0.0838859, -0.0482937
184, 6.1, 0.987771, 1, 30.0237, 20.1592, 655.856, 0.278194, -0.0835533, -0.0466268
185, 6.13333, 0.98782, 1, 30.2897, 19.9683, 656.566, 0.279082, -0.0811895, -0.0459482
186, 6.16667, 0.988489, 1, 30.538, 19.9099, 657.96, 0.283577, -0.0771457, -0.0460824
187, 6.2, 0.987984, 1, 30.7008, 19.9546, 658.113, 0.283723, -0.0781782, -0.043847
188, 6.23333, 0.987895, 1, 30.6824, 19.9967, 658.261, 0.284838, -0.0746214, -0.0423339
189, 6.26667, 0.986852, 1, 30.5414, 20.1501, 658.115, 0.287404, -0.072356, -0.0408208
190, 6.3, 0.986758, 1, 30.525, 20.1435, 658.057, 0.287956, -0.0720602, -0.0403499
191, 6.33333, 0.987525, 1, 30.2827, 20.3573, 657.346, 0.288557, -0.0715039, -0.0430984
192, 6.36667, 0.986998, 1, 29.9439, 20.556, 657.228, 0.294246, -0.0696, -0.0463613
193, 6.4, 0.986367, 1, 29.7794, 20.9592, 657.975, 0.292718, -0.0666859, -0.0492871
194, 6.43333, 0.986647, 1, 29.5929, 21.3704, 658.4, 0.290239, -0.0660868, -0.0506985
195, 6.46667, 0.986884, 1, 29.1361, 21.8811, 658.506, 0.293933, -0.0604177, -0.0542477
196, 6.5, 0.987212, 1, 29.0979, 21.8565, 659.586, 0.287331, -0.0571019, -0.055316
197, 6.53333, 0.987178, 1, 28.8739, 21.7218, 659.951, 0.287405, -0.0527655, -0.0558096
198, 6.56667, 0.986927, 1, 28.6801, 21.7953, 659.336, 0.288865, -0.0536275, -0.0556074
199, 6.6, 0.988578, 1, 28.6237, 21.906, 658.855, 0.295063, -0.0565692, -0.0530502
200, 6.63333, 0.988138, 1, 28.5044, 22.1373, 657.9, 0.297651, -0.0576819, -0.0520088
201, 6.66667, 0.988192, 1, 28.2619, 22.3429, 657.004, 0.304125, -0.0595906, -0.0519996
202, 6.7, 0.98812, 1, 28.2608, 22.3336, 656.975, 0.304208, -0.0596806, -0.0521568
203, 6.73333, 0.988077, 1, 28.0257, 22.2436, 659.106, 0.304531, -0.06039, -0.0550568
204, 6.76667, 0.988042, 1, 27.526, 22.315, 660.08, 0.299656, -0.0585101, -0.0556768
205, 6.8, 0.989039, 1, 26.9682, 21.9872, 661.962, 0.284811, -0.0546283, -0.0572935
206, 6.83333, 0.989405, 1, 26.4973, 21.9362, 663.317, 0.280777, -0.0546695, -0.0607235
207, 6.86667, 0.989971, 1, 26.1207, 21.7716, 664.665, 0.278032, -0.0529895, -0.0630082
208, 6.9, 0.989342, 1, 25.6326, 21.4055, 664.293, 0.273937, -0.0522991, -0.0662746
209, 6.93333, 0.989091, 1, 25.0071, 21.1747, 661.007, 0.273339, -0.0511816, -0.0647378
210, 6.96667, 0.989213, 1, 24.2561, 20.98, 659.613, 0.274376, -0.0453211, -0.06634
211, 7, 0.988679, 1, 22.8966, 20.8101, 660.475, 0.275178, -0.0386822, -0.0702727
212, 7.03333, 0.987632, 1, 22.2496, 21.2132, 667.054, 0.288999, -0.0309522, -0.0726728
213, 7.06667, 0.986499, 1, 21.493, 21.3277, 668.894, 0.289938, -0.0278559, -0.0753803
214, 7.1, 0.986725, 1, 21.4574, 21.3117, 668.891, 0.291824, -0.0277198, -0.0752683
215, 7.13333, 0.988007, 1, 20.6995, 20.8817, 665.614, 0.287714, -0.0270327, -0.0758944
216, 7.16667, 0.989038, 1, 19.9978, 20.3135, 661.718, 0.275041, -0.0330621, -0.0776822
217, 7.2, 0.990313, 1, 19.4752, 19.74, 661.014, 0.266508, -0.0352574, -0.0849314
218, 7.23333, 0.990689, 1, 19.0889, 19.5928, 661.28, 0.262473, -0.0386387, -0.0885664
219, 7.26667, 0.990312, 1, 18.862, 19.4251, 659.639, 0.260782, -0.0443557, -0.0922084
220, 7.3, 0.989995, 1, 19.1764, 19.3189, 661.07, 0.255996, -0.0509755, -0.0907552
221, 7.33333, 0.990521, 1, 20.0924, 18.8976, 661.136, 0.252291, -0.063547, -0.0845911
222, 7.36667, 0.990044, 1, 21.3299, 18.2499, 659.39, 0.254954, -0.0832411, -0.0778454
223, 7.4, 0.99028, 1, 22.7382, 17.1126, 657.681, 0.247799, -0.100534, -0.0714687
224, 7.43333, 0.988952, 1, 24.0938, 16.0618, 657.412, 0.239459, -0.11716, -0.0686527
225, 7.46667, 0.989101, 1, 25.0041, 15.0886, 656.903, 0.222646, -0.12763, -0.068618
226, 7.5, 0.989253, 1, 25.6207, 14.2351, 657.898, 0.215081, -0.135819, -0.067649
227, 7.53333, 0.989353, 1, 25.7468, 13.3912, 658.008, 0.206419, -0.137524, -0.0671891
228, 7.56667, 0.989227, 1, 25.7626, 12.7314, 657.159, 0.201441, -0.139413, -0.0679712
229, 7.6, 0.988586, 1, 25.6162, 12.1623, 657.208, 0.199482, -0.137935, -0.0688514
230, 7.63333, 0.987943, 1, 25.3384, 11.8447, 656.809, 0.19658, -0.135858, -0.0715088
231, 7.66667, 0.988098, 1, 25.1901, 11.6122, 657.016, 0.193073, -0.134724, -0.0745146
232, 7.7, 0.98831, 1, 25.0549, 11.5092, 656.457, 0.19342, -0.133069, -0.0765154
233, 7.73333, 0.988944, 1, 24.8636, 11.7229, 657.012, 0.194866, -0.131176, -0.0781328
234, 7.76667, 0.988601, 1, 24.7408, 11.6985, 656.877, 0.195716, -0.13054, -0.0777546
235, 7.8, 0.98959, 1, 24.6816, 11.9413, 657.514, 0.200139, -0.128894, -0.0770927
236, 7.83333, 0.989243, 1, 24.671, 11.9465, 657.378, 0.198603, -0.128441, -0.0772505
237, 7.86667, 0.990135, 1, 24.4809, 12.0685, 657.169, 0.201137, -0.125135, -0.0760819
238, 7.9, 0.989361, 1, 24.2465, 12.23, 656.547, 0.202993, -0.124101, -0.0743212
239, 7.93333, 0.989968, 1, 24.0443, 12.5151, 656.463, 0.203078, -0.122202, -0.0737319
240, 7.96667, 0.990093, 1, 23.7717, 12.7732, 657.739, 0.206774, -0.121264, -0.0732747
241, 8, 0.989632, 1, 23.2455, 12.9868, 656.044, 0.212242, -0.12168, -0.0714931
242, 8.03333, 0.989067, 1, 22.8726, 13.2183, 655.977, 0.218423, -0.122458, -0.0716728
243, 8.06667, 0.989085, 1, 22.2679, 13.1994, 654.952, 0.214348, -0.117919, -0.0727503
244, 8.1, 0.989551, 1, 21.8296, 13.234, 655.02, 0.215769, -0.115405, -0.07366
245, 8.13333, 0.990013, 1, 21.285, 13.0447, 654.699, 0.214325, -0.11232, -0.0758638
246, 8.16667, 0.989858, 1, 20.7975, 13.0971, 654.839, 0.211768, -0.109016, -0.0778609
247, 8.2, 0.990192, 1, 20.4508, 13.3521, 654.663, 0.215392, -0.106697, -0.078425
248, 8.23333, 0.989735, 1, 20.1805, 13.6719, 655.103, 0.218292, -0.108189, -0.0777713
249, 8.26667, 0.98965, 1, 19.9995, 14.1472, 654.631, 0.222134, -0.110931, -0.0785408
250, 8.3, 0.989742, 1, 19.9298, 14.5128, 654.416, 0.228075, -0.115136, -0.0805113
251, 8.33333, 0.989927, 1, 20.075, 14.9105, 654.941, 0.228595, -0.119359, -0.08076
252, 8.36667, 0.989418, 1, 20.12, 15.2714, 654.209, 0.232854, -0.121574, -0.0803804
253, 8.4, 0.98958, 1, 20.2674, 15.6249, 655.383, 0.237275, -0.12543, -0.0810539
254, 8.43333, 0.989258, 1, 20.2247, 15.6181, 656.512, 0.234773, -0.124074, -0.080792
255, 8.46667, 0.989602, 1, 19.9987, 15.6003, 656.435, 0.232419, -0.118224, -0.0825345
256, 8.5, 0.989382, 1, 19.7279, 15.2565, 656.68, 0.229633, -0.113024, -0.0826807
257, 8.53333, 0.98985, 1, 19.5007, 14.9697, 656.494, 0.228309, -0.109111, -0.0816744
258, 8.56667, 0.989786, 1, 19.3152, 14.7191, 657.298, 0.226646, -0.103878, -0.0794576
259, 8.6, 0.990084, 1, 19.1789, 14.4837, 656.488, 0.227475, -0.102608, -0.077409
260, 8.63333, 0.98915, 1, 19.1553, 14.6933, 657.09, 0.231554, -0.101533, -0.0752812
261, 8.66667, 0.9878, 1, 19.3582, 15.5618, 660.99, 0.236379, -0.100129, -0.0778383
